Territory,Location type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barcelona,Municipi,6.002394374,6.873028918,7.624638986,7.995922973,8.676605162,9.637512029,10.55692501,11.54450459,12.24287766,11.91968763,11.59905682,11.38205761,10.84392345,10.28845877,10.16424859,11.0933,12.21602649,13.36430933,13.42301908,13.98256482,13.8863462,13.20519065,14.53969961,16.10490055,16.39708607
Ciutat Vella,Districte,5.528870569,6.431009509,7.289917058,7.585765835,8.564199829,9.764863929,10.69095055,11.60348641,12.56505038,12.41528241,12.07157703,12.04665901,11.65565013,11.37974133,11.38134023,12.4479,13.89518831,15.45951525,14.45681234,14.77202198,14.34154164,13.24139555,15.78926738,16.6617383,16.85592758
el Raval,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.47,11.1045,12.26365993,13.9156478,14.01572858,14.32361413,14.03878124,12.91085055,15.21887184,15.89000559,16.17881985
el Barri Gòtic,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.54,11.2094,13.04266053,14.19188481,13.80419991,14.2987897,13.63371541,12.5923739,15.64870069,16.43627426,15.90366787
la Barceloneta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.15,16.3294,18.17697756,19.84459249,16.88330017,17.40046457,17.2831461,15.99781348,18.77175656,18.984795,20.99578363
"Sant Pere, Santa Caterina i la Ribera",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.24,12.6979,14.08973091,15.71361112,15.01639302,15.15732904,14.61567833,13.59229485,16.04723493,17.40815883,17.61175755
Eixample,Districte,5.753806516,6.809718132,7.466124936,7.881907031,8.453162707,9.485811836,10.26281003,11.26392924,11.89104062,11.64339567,11.34424385,11.18799897,10.75224174,10.24028723,10.27629391,11.1788,12.38952261,13.42571185,13.73079757,14.34036926,14.21668503,13.34610317,14.93476954,16.51219861,16.94448888
el Fort Pienc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.98,10.8908,11.7575944,13.11479628,13.13429242,14.01533334,13.90036018,13.04815275,14.3772747,16.08259125,15.94663553
la Sagrada Família,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.46,11.1051,12.19930058,13.34780501,13.7058815,14.47648684,14.30856439,13.58089761,15.31207018,16.7037896,17.20701589
la Dreta de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.06,11.2916,12.85718569,13.54228026,13.96285578,14.39960883,14.15620642,13.14680633,14.99586503,16.59009763,16.76617878
l'Antiga Esquerra de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.48,11.3658,12.7261311,13.73251854,14.05457683,14.47553908,14.32006576,13.65011684,15.20397135,16.75292592,17.3035444
la Nova Esquerra de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.42,11.2679,12.374658,13.54946012,13.92147503,14.52114625,14.42170367,13.43859937,14.94684727,16.67959806,17.24319495
Sant Antoni,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.01,10.9577,12.08189107,13.01762327,13.1694508,13.84856362,13.9453833,12.95848612,14.40420369,15.87431448,16.51782861
Sants-Montjuïc,Districte,6.054530627,6.681541048,7.510634263,7.76539729,8.682147198,9.505814724,10.48661572,11.28037382,12.22004312,11.90533102,11.54726536,11.29854841,10.76094325,10.10302059,9.886286363,10.6603,11.66224899,12.91623798,13.01369447,13.49358971,13.64358325,12.96614193,14.07791281,16.32553337,15.99425783
el Poble Sec - AEI Parc Montjuïc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.19,11.0933,12.27904554,13.692917,13.85018325,14.35922989,14.26406224,13.62030151,15.23262835,16.00167408,17.05463379
la Marina del Prat Vermell - AEI Zona Franca,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.36,6.6071,5.872399167,-,-,7.100991794,-,5.901596189,7.194147868,13.39285714,7.778540808
