Territory,Location type,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barcelona,Municipi,2460.693071,2247.57435,2304.154762,2557.811691,2712.506707,3139.319732,3377.949095,3299.956057,3286.192101,3326.096397,3594.305744,3619.748722,3787.836588
Ciutat Vella,Districte,2355.404545,2266.122126,2383.564386,2705.456679,2988.749523,3457,3833.118894,3592.334247,3586.746649,3514.580208,3750.279103,3749.112917,3656.764505
el Raval,Barri,1816.109195,1634.581749,1807.055138,2345.307159,2466.992593,2824.088732,3290.682879,3088.467368,2910.096386,2818.792916,3172.610714,3204.905622,3001.951923
el Barri Gòtic,Barri,2409.444444,2340.42735,2715.611765,2749.988024,3456.318681,3860.886364,4483.023121,3823.266304,4182.820755,4432.988571,4358.904762,3946.855615,4529.326531
la Barceloneta,Barri,2873.5,2789.375,3130.852941,3021.221198,3502.872093,4228.472362,4510.320988,4145.645349,3786.356589,3851.294479,4032.779343,4264.591398,4080.111111
"Sant Pere, Santa Caterina i la Ribera",Barri,2789.65873,2748.831633,2566.07451,2980.32646,3239.147139,4053.510086,4073.254237,3977.469697,4344.927374,3670.454902,4057.396648,4212.731544,4137.337017
Eixample,Districte,2736.312658,2619.378893,2682.898075,2983.034045,3380.773356,3868.647246,4111.167084,4032.446095,3977.152646,4033.658143,4360.865553,4582.177174,4773.665089
el Fort Pienc,Barri,2592.811594,2210.45283,2426.462366,2766.650888,2933.033755,3420.878505,3782.287879,3545.439394,3492.4375,3718.837719,3938.313043,3933.917031,4151.505814
la Sagrada Família,Barri,2380.416107,2303.745098,2242.016129,2581.220708,2995.363218,3518.965937,3658.036952,3551.40241,3460.394904,3607.275058,3835.550179,4125.331565,4352.088571
la Dreta de l'Eixample,Barri,3164.795455,3410.69685,3325.699405,3622.755844,4229.156904,4738.077108,5137.597598,4925.715068,5253.03125,4784.885714,5351.002123,5522.936937,5858.576812
l'Antiga Esquerra de l'Eixample,Barri,2892.824324,2605.972826,2873.778146,3203.896067,3688.832317,4189.926966,4265.916418,4153.558989,4449.633929,4360.403141,4634.354077,4885.637056,5207.055762
la Nova Esquerra de l'Eixample,Barri,2739.318681,2431.870833,2625.19084,2877.235849,3171.744231,3592.727907,3951.262255,3872.974886,3775.735632,3863.918972,4125.764378,4296.725537,4430.514019
Sant Antoni,Barri,2578.672727,2346.815476,2404.330544,2623.382022,2985.525478,3553.277628,3881.44863,4022.126984,3576.54902,3787.993311,4152.823848,4269.358065,4232.197425
Sants-Montjuïc,Districte,1965.152749,1739.243478,1842.968478,2165.934048,2353.758423,2798.729099,3137.349636,3153.22076,3091.751412,3112.403696,3220.147476,3304.579292,3343.846356
el Poble Sec - AEI Parc de Montjuïc,Barri,2116.414414,1805.084848,1753.902527,2160.25,2587.599078,3212.478803,3501.617571,3579.508152,3331.29771,3273.842246,3496.127753,3663.73494,3732.259386
la Marina del Prat Vermell - AEI Zona Franca,Barri,-,-,557.3333333,1436.333333,1100,1465.4,1214,943.4285714,1407.428571,1081.333333,1143.333333,-,2673.15493
la Marina de Port,Barri,1522.819149,1601.090909,1518.015038,2046.25,1982.95671,2112.229839,2388.171806,2639.683168,2279.475,2490.585714,2345.742373,2680.385185,2537.683333
la Font de la Guatlla,Barri,1947.692308,1919.2,2028.789474,2218.509804,2247.744444,2854.108108,2977.269231,3160.9,3245,3448.012195,3218.758242,3170.337079,3387.563636
Hostafrancs,Barri,2450.7,1374.087719,1956.086957,2053.579832,2229.529851,2740.514286,3256.346405,3053.97037,3349.177083,3352.764706,3399.71223,3159.784173,3647.777778
la Bordeta,Barri,2017.444444,1714.76,1794.01087,2175.222222,2054.92,2585.375,3048.292929,3193.013423,2983.336066,3047.219858,3019.472973,3162.244019,3198.951923
Sants - Badal,Barri,1932.6875,1732.826667,1953.809091,2079.778626,2401.715686,2692.299145,2991.048128,2951.017751,3117.08589,3021.148352,3242.966667,3407.354497,3418.636943
