Territory,Location type,Property use typology,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barcelona,Municipi,Residential,4809,6373,10296,11172,14445,14732,13501,13194,9815,13620,16173,13363,10020
Barcelona,Municipi,Parking,2728,3205,5023,5411,6430,6565,6331,6062,4609,6075,6744,6247,4279
Barcelona,Municipi,Commercial,377,608,919,1153,1556,1718,1626,1664,1195,1395,1616,1499,1148
Barcelona,Municipi,Office,174,295,470,565,597,602,647,713,460,511,535,462,324
Barcelona,Municipi,Touristic,239,353,297,415,280,232,186,162,151,40,50,67,36
Barcelona,Municipi,Plots/Land,35,52,44,89,100,137,570,416,288,445,278,327,303
Barcelona,Municipi,Industrial,37,28,60,55,97,176,148,116,58,90,93,80,86
Barcelona,Municipi,Facilities,30,51,70,84,81,104,153,162,111,124,141,135,84
Barcelona,Municipi,Not avalaible,579,897,1246,1434,1627,1181,297,172,117,143,197,134,211
Ciutat Vella,Districte,Residential,459,735,1049,1205,1690,1550,1169,1169,779,1021,1453,1277,939
Ciutat Vella,Districte,Parking,104,152,179,120,262,155,156,112,78,431,160,177,83
Ciutat Vella,Districte,Commercial,29,62,95,114,152,93,92,90,77,58,105,115,64
Ciutat Vella,Districte,Office,34,26,29,68,43,28,50,51,19,17,46,31,16
Ciutat Vella,Districte,Touristic,21,15,15,20,18,17,14,13,16,6,5,7,5
Ciutat Vella,Districte,Plots/Land,-,1,1,5,4,4,8,8,1,-,-,1,1
Ciutat Vella,Districte,Industrial,-,-,-,-,-,-,-,-,-,1,-,-,1
Ciutat Vella,Districte,Facilities,-,3,5,2,3,2,4,4,21,5,1,4,1
Ciutat Vella,Districte,Not avalaible,54,111,118,134,276,76,27,9,-,1,5,7,25
el Raval,Barri,Residential,178,275,421,459,721,747,535,513,340,395,583,527,449
el Raval,Barri,Parking,11,27,54,42,89,61,78,37,26,36,69,77,30
el Raval,Barri,Commercial,9,23,26,36,57,28,35,36,28,21,36,44,28
el Raval,Barri,Office,17,12,5,28,24,8,25,24,11,14,22,18,8
el Raval,Barri,Touristic,14,1,4,6,5,11,3,2,6,1,1,5,2
el Raval,Barri,Plots/Land,-,1,-,4,1,1,8,2,-,-,-,1,-
el Raval,Barri,Facilities,-,1,-,-,2,1,1,2,2,4,1,2,-
el Raval,Barri,Not avalaible,7,43,66,51,88,15,14,5,-,1,3,4,15
el Barri Gòtic,Barri,Residential,79,121,184,203,302,231,200,193,123,188,268,213,158
el Barri Gòtic,Barri,Parking,3,11,12,14,5,21,15,16,19,40,41,41,16
el Barri Gòtic,Barri,Commercial,6,22,29,34,39,23,18,19,16,9,25,30,9
