Territory,Location type,31 Jan 2005,28 Feb 2005,31 Mar 2005,30 Apr 2005,31 May 2005,30 Jun 2005,31 Jul 2005,31 Aug 2005,30 Sep 2005,31 Oct 2005,30 Nov 2005,31 Dec 2005,31 Jan 2006,28 Feb 2006,31 Mar 2006,30 Apr 2006,31 May 2006,30 Jun 2006,31 Jul 2006,31 Aug 2006,30 Sep 2006,31 Oct 2006,30 Nov 2006,31 Dec 2006,31 Jan 2007,28 Feb 2007,31 Mar 2007,30 Apr 2007,31 May 2007,30 Jun 2007,31 Jul 2007,31 Aug 2007,30 Sep 2007,31 Oct 2007,30 Nov 2007,31 Dec 2007,31 Jan 2008,28 Feb 2008,31 Mar 2008,30 Apr 2008,31 May 2008,30 Jun 2008,31 Jul 2008,31 Aug 2008,30 Sep 2008,31 Oct 2008,30 Nov 2008,31 Dec 2008,31 Jan 2009,28 Feb 2009,31 Mar 2009,30 Apr 2009,31 May 2009,30 Jun 2009,31 Jul 2009,31 Aug 2009,30 Sep 2009,31 Oct 2009,30 Nov 2009,31 Dec 2009,31 Jan 2010,28 Feb 2010,31 Mar 2010,30 Apr 2010,31 May 2010,30 Jun 2010,31 Jul 2010,31 Aug 2010,30 Sep 2010,31 Oct 2010,30 Nov 2010,31 Dec 2010,31 Jan 2011,28 Feb 2011,31 Mar 2011,30 Apr 2011,31 May 2011,30 Jun 2011,31 Jul 2011,31 Aug 2011,30 Sep 2011,31 Oct 2011,30 Nov 2011,31 Dec 2011,31 Jan 2012,28 Feb 2012,31 Mar 2012,30 Apr 2012,31 May 2012,30 Jun 2012,31 Jul 2012,31 Aug 2012,30 Sep 2012,31 Oct 2012,30 Nov 2012,31 Dec 2012,31 Jan 2013,28 Feb 2013,31 Mar 2013,30 Apr 2013,31 May 2013,30 Jun 2013,31 Jul 2013,31 Aug 2013,30 Sep 2013,31 Oct 2013,30 Nov 2013,31 Dec 2013,31 Jan 2014,28 Feb 2014,31 Mar 2014,30 Apr 2014,31 May 2014,30 Jun 2014,31 Jul 2014,31 Aug 2014,30 Sep 2014,31 Oct 2014,30 Nov 2014,31 Dec 2014,31 Jan 2015,28 Feb 2015,31 Mar 2015,30 Apr 2015,31 May 2015,30 Jun 2015,31 Jul 2015,31 Aug 2015,30 Sep 2015,31 Oct 2015,30 Nov 2015,31 Dec 2015,31 Jan 2016,28 Feb 2016,31 Mar 2016,30 Apr 2016,31 May 2016,30 Jun 2016,31 Jul 2016,31 Aug 2016,30 Sep 2016,31 Oct 2016,30 Nov 2016,31 Dec 2016,31 Jan 2017,28 Feb 2017,31 Mar 2017,30 Apr 2017,31 May 2017,30 Jun 2017,31 Jul 2017,31 Aug 2017,30 Sep 2017,31 Oct 2017,30 Nov 2017,31 Dec 2017,31 Jan 2018,28 Feb 2018,31 Mar 2018,30 Apr 2018,31 May 2018,30 Jun 2018,31 Jul 2018,31 Aug 2018,30 Sep 2018,31 Oct 2018,30 Nov 2018,31 Dec 2018,31 Jan 2019,28 Feb 2019,31 Mar 2019,30 Apr 2019,31 May 2019,30 Jun 2019,31 Jul 2019,31 Aug 2019,30 Sep 2019,31 Oct 2019,30 Nov 2019,31 Dec 2019,31 Jan 2020,28 Feb 2020,31 Mar 2020,30 Apr 2020,31 May 2020,30 Jun 2020,31 Jul 2020,31 Aug 2020,30 Sep 2020,31 Oct 2020,30 Nov 2020,31 Dec 2020,31 Jan 2021,28 Feb 2021,31 Mar 2021,30 Apr 2021,31 May 2021,30 Jun 2021,31 Jul 2021,31 Aug 2021,30 Sep 2021,31 Oct 2021,30 Nov 2021,31 Dec 2021,31 Jan 2022,28 Feb 2022,31 Mar 2022,30 Apr 2022,31 May 2022,30 Jun 2022,31 Jul 2022,31 Aug 2022,30 Sep 2022,31 Oct 2022,30 Nov 2022,31 Dec 2022,31 Jan 2023,28 Feb 2023,31 Mar 2023,30 Apr 2023,31 May 2023,30 Jun 2023,31 Jul 2023,31 Aug 2023,30 Sep 2023,31 Oct 2023,30 Nov 2023,31 Dec 2023,31 Jan 2024,29 Feb 2024,31 Mar 2024,30 Apr 2024,31 May 2024,30 Jun 2024,31 Jul 2024,31 Aug 2024,30 Sep 2024,31 Oct 2024
Barcelona,Municipi,61824,61495,61431,58577,56273,54968,56916,58045,57335,54829,54533,53606,55444,56321,56567,55086,54072,53691,54932,55987,53621,53329,53503,53279,53208,52841,52921,51641,50712,50790,52629,54331,52261,51424,50571,51243,54804,56340,56867,57687,58629,59374,61404,64368,65356,68344,71510,74304,80208,84277,88205,89862,89941,87919,90565,94849,96248,97721,99795,101062,105073,106961,108292,106836,103907,101089,99844,102648,101972,102704,102364,100868,105456,107928,109153,108203,106774,104784,104929,107625,108250,109266,109265,108624,112747,113736,113528,113402,112585,110521,110675,112381,112088,112479,113319,112192,114443,114936,115154,113870,111451,107913,108192,108606,108706,109984,110281,107677,109151,108225,107734,106398,102784,100943,101997,102096,101045,101559,100603,99056,100594,100384,99768,96912,93617,90624,90102,91325,90358,90893,90598,89398,89877,88091,87760,85273,82569,79829,79225,80344,79653,79463,80217,78864,79302,79093,79056,76784,74511,71871,71357,72805,71660,73060.96,74642.04,73752.06,75081.02,74155.06,74239.02,71859.01,70077.93,67982.99,68068.99,70160.97,68759.08,69808,69781.98,69316.04,70591.06,70352.01,70988,69352.9,67785.02,65831.97,66677.99,68546.95,67637.93,69006.05,69692.99,69046.98,70602,71447,76196,86423,90528,92735,91100,92917,91282,92446,92401,93842,96227,97480,96384,94851,92582,85486,78019,71466,67208,66174,63984,63383,64141.04,63937.03,64059.95,63335.02,60951.01,59437.93,60638.99,62122.94,62254,61589.99,61906.08,61435.94,62538.4006,63007.3964,63119.3983,61696.414,61432.4138,60313.4246,60972.4228,62514.4143,61791.4189,62413.4101,62720.4029,63524.4022,64793.3831,65092.3801,65155.3717,63702.3791,62616.39,61550.3977,62108.3985,63366.3917,62343.4009,63021.4023
Ciutat Vella,Districte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7448,7861,8271,8274,8224,8084,8139,8420,8686,8944,9268,9355,9715,9971,10174,10013,9734,9560,9316,9475,9430,9706,9768,9682,9990,10140,10138,9889,9696,9593,9553,9634,9613,9938,9996,9941,10183,10276,10128,10103,9817,9552,9424,9566,9471,9470,9624,9525,9757,9837,9806,9675,9361,8979,8920,8742,8876,9029,9265,9023,9176,9090,9115,8931,8539,8402,8471,8372,8256,8414,8488,8362,8616,8561,8537,8315,8026,7792,7698,7625,7562,7654,7845,7820,7942,7758,7713,7534,7155,6934,6822,6789,6872,6903,7078,7029,7036,6931,6998,6715,6614,6432,6349,6335,6347.41,6620.39,6919.13,6824.9,6901.97,6736.86,6708.95,6452.18,6196.81,6038.76,6004.48,6086.14,6159.68,6343.61,6491.62,6501.45,6572.51,6527.89,6547.15,6265.86,6045.32,5854.1,5929.23,5939.22,5939.06,6109.06,6336.62,6290.32,6364,6488,6988,8098,8602,8937,8790,9071,9041,9408,9536,9773,10051,10239,10177,10039,9823,8780,7740,6641,6154,6132,5908,5893,5907.89,5890.92,5925.4,5837.22,5613.31,5441.71,5485.09,5584.68,5628.15,5596.78,5591.47,5573.76,5712.7391,5765.5785,5765.0285,5667.9861,5576.3386,5498.2973,5476.7567,5583.5032,5563.1244,5644.0394,5689.414,5804.7461,5951.8604,6020.1539,5987.6833,5897.741,5818.1805,5715.4517,5740.703,5774.2251,5717.0691,5782.7944
el Raval,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5034,5112,5103,4960,4884,4822,4771,4857,4876,4987,5025,4989,5053,5142,5139,5107,4943,4765,4679,4758,4643,4631,4762,4692,4802,4899,4912,4924,4763,4547,4507,4367,4437,4509,4642,4520,4588,4539,4572,4510,4379,4318,4279,4169,4131,4237,4273,4218,4368.05,4345.96,4341.31,4239.68,4110.77,3976.32,3905.04,3850.14,3830.77,3833.01,3946.3,3900.77,3976.71,3927.73,3928.45,3856.68,3629.92,3552.94,3472.63,3401.4,3465.52,3482.42,3592.84,3564.94,3558.72,3525,3597.19,3448.94,3439.87,3320.73,3231.97,3179.44,3217.13,3334.85,3511.36,3452.66,3482.96,3409.17,3419.9,3294.23,3136.47,3071.22,3043.14,3011.4,3101.59,3203.1,3293.61,3309.85,3314.88,3329.99,3290.99,3163.37,3036.53,2932.99,2958.36,2958.24,2919.78,3001.32,3094.5,3073.74,3065,3141,3370,4059,4241,4482,4439,4569,4608,4840,4920,5046,5179,5295,5284,5212,5077,4541,4031,3444,3205,3191,3047,3034,3039.09,3034.16,3065.4,3027.62,2883.71,2779.99,2839.7,2873.66,2898.88,2899.06,2871.45,2843.44,2901.0121,2916.2153,2903.0368,2847.9578,2820.8204,2759.0341,2705.3286,2738.6943,2742.5626,2767.9152,2793.3457,2850.5587,2907.659,2969.5965,2947.5468,2903.6395,2845.9749,2785.6039,2800.4642,2807.8223,2782.4806,2818.5265
el Barri Gòtic,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1468,1484,1445,1415,1388,1366,1378,1392,1381,1465,1478,1461,1506,1491,1453,1486,1445,1392,1384,1407,1361,1330,1348,1333,1357,1341,1327,1314,1270,1204,1195,1193,1214,1223,1249,1227,1222,1223,1233,1188,1141,1095,1130,1135,1147,1152,1170,1157,1196.71,1167.57,1146.17,1130.65,1066.55,1052.96,1053.93,1029.67,1011.24,1016.07,1057.81,1049.05,1051.03,1026.78,1006.38,961.67,918.9,877.15,869.39,859.72,875.25,876.24,905.4,912.18,949.1,921,918,872.34,845.14,816.01,817.93,827.67,835.42,895.63,908.25,916.04,923.83,902.45,923.77,877.22,855.79,817.95,811.14,851.94,854.84,905.32,896.56,869.38,897.53,867.41,863.52,847.01,850.91,812.05,817.91,811.11,864.55,881.04,886.87,891.77,918,949,1022,1161,1254,1271,1254,1293,1267,1341,1369,1404,1440,1457,1425,1410,1380,1236,1083,915,833,826,824,840,838.34,840.29,848.02,859.68,832.46,811.08,801.36,831.43,840.19,811.08,822.73,820.8,866.937,896.6066,885.0218,870.0067,859.6638,861.5422,871.6027,890.9053,889.6153,915.4793,940.0865,962.1429,989.4086,991.5018,993.4489,985.1611,995.6793,969.8567,956.2959,966.3513,949.4167,966.3788
la Barceloneta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1463,1485,1504,1472,1433,1426,1424,1416,1404,1459,1462,1464,1520,1527,1481,1469,1433,1423,1406,1424,1452,1471,1472,1465,1506,1505,1492,1437,1391,1350,1344,1329,1348,1378,1412,1371,1409,1393,1387,1354,1262,1250,1280,1284,1246,1266,1275,1252,1278.06,1276.78,1276.95,1233.79,1193.5,1157.94,1148.07,1150.34,1140.18,1176.06,1191.79,1203.67,1223.19,1177.03,1166.32,1139.08,1092.12,1048.95,1039.1,1059.91,1062.06,1069.03,1084.16,1072.04,1062.31,1043,1042.47,1004.63,977.63,963.49,964.22,976.34,963.36,1004.08,1050.36,1032.48,1049.32,1019.62,993.24,959.32,924.66,903.48,902.5,932.63,924.37,937.52,966.12,975.67,990.54,977.56,1004.13,945.85,904.84,884.14,903.67,910.1,904.65,934.96,989.81,978.49,1002,1008,1091,1209,1306,1340,1303,1350,1331,1357,1365,1397,1444,1467,1460,1438,1416,1263,1104,958,888,889,856,848,852.91,847.34,844.1,818.39,795.98,775.71,772.28,785.75,790.59,790.71,794.57,800.69,770.3514,774.7168,784.108,775.0912,753.1407,746.1441,755.5106,777.8355,768.2818,780.2548,778.2593,791.4543,816.1985,816.8095,810.6358,795.2828,781.9253,775.5397,784.1327,790.7055,785.5172,790.3064
"Sant Pere, Santa Caterina i la Ribera",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023,2058,2084,2040,1989,1977,1977,1967,1950,2024,2028,2024,2102,2114,2053,2038,1994,1970,1953,1975,2012,2037,2038,2033,2090,2090,2074,1998,1935,1876,1871,1852,1874,1916,1960,1903,1956,1933,1921,1876,1756,1737,1780,1782,1730,1756,1768,1734,1773.18,1770.69,1772.57,1710.88,1655.18,1604.78,1590.96,1594.85,1579.81,1628.86,1649.1,1666.51,1691.07,1626.46,1611.85,1576.57,1514.06,1454.96,1440.88,1467.97,1469.17,1475.31,1495.6,1479.84,1465.87,1442,1440.34,1389.09,1351.36,1331.77,1334.88,1351.55,1331.5,1385.83,1449.16,1423.72,1445.86,1405.62,1372.04,1321.41,1279.89,1246.11,1247.7,1290.17,1278.88,1297.67,1335.33,1346.55,1369.56,1352.93,1388.51,1309.63,1253.04,1224.92,1249.29,1259.77,1250.08,1291.74,1365.44,1346.32,1379,1390,1506,1668,1800,1845,1793,1860,1835,1869,1882,1926,1988,2020,2008,1979,1950,1740,1522,1323,1228,1227,1182,1170,1177.55,1169.13,1167.88,1131.53,1101.16,1074.93,1071.75,1093.84,1098.49,1095.93,1102.72,1108.83,1174.4386,1178.0398,1192.8619,1174.9304,1142.7137,1131.5769,1144.3148,1176.0681,1162.6647,1180.3901,1177.7225,1200.5902,1238.5943,1242.2461,1236.0518,1213.6576,1194.601,1184.4514,1199.8102,1209.346,1199.6546,1207.5827
Eixample,Districte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11318,11881,12347,12528,12569,12276,12774,13484,13568,13731,14082,14297,14774,15067,15232,15007,14600,14089,14145,14578,14490,14464,14475,14357,15017,15373,15397,15248,14940,14749,14860,15399,15429,15573,15503,15470,16060,16142,16026,16055,16014,15690,15871,16146,16028,15963,16083,15916,16241,16102,16061,15824,15453,14922,15060,15154,14950,15146,15252,14933,15116,14907,14739,14579,14022,13763,14093,14083,13817,13719,13618,13351,13605,13516,13390,12907,12484,12148,12188,12378,12187,12215,12180,11975,12042,11721,11654,11235,10897,10567,10553,10825,10745,10704,10826,10659,10735,10657,10640,10337,9917,9641,9669,9952,9752.75,9754.51,9995.72,9883.7,10059.19,9866.33,9833.72,9497.79,9284.14,9047.7,9105.81,9423.91,9234.32,9276.53,9224.03,9249.5,9564.79,9495.82,9507.87,9260.73,9144.45,8834.29,9005.26,9306.91,9163.69,9270.98,9394.24,9325.58,9420,9518,10237,11725,12460,12752,12461,12815,12524,12689,12728,12928,13199,13284,13086,12849,12432,11435,10489,9529,8795,8551,8267,8202,8259.25,8269.52,8206.95,8153.14,7822.1,7655.88,7907.86,8189.14,8168.16,8027.31,8081.31,8033.31,8142.2049,8241.0438,8216.365,8009.0904,8073.7798,8054.6073,8198.165,8474.6838,8266.0497,8373.8769,8395.0274,8528.0207,8654.9319,8699.5024,8699.7538,8518.1473,8351.9836,8201.1035,8372.2433,8601.7421,8437.5652,8542.7662
el Fort Pienc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1901,1922,1924,1914,1880,1870,1856,1923,1934,1952,1939,1921,1987,2026,2014,2005,1996,1928,1961,2017,2007,1983,2012,1986,2039,2024,2025,1980,1932,1858,1883,1898,1855,1874,1875,1848,1879,1847,1850,1843,1778,1755,1786,1795,1752,1756,1734,1691,1715.39,1720.22,1729.07,1663.53,1599.46,1550.85,1544.4,1572.18,1543.33,1513.79,1501.66,1468.3,1478.62,1441.94,1421.98,1378.62,1333.81,1294.36,1280.24,1326.06,1325.55,1339.58,1349.58,1346.71,1367.59,1351,1342.28,1301.41,1267.25,1230.39,1257.25,1274.3,1231.63,1229.93,1267.81,1253.57,1275.93,1257.25,1255.23,1234.86,1201.99,1168.59,1184.16,1199.83,1180.05,1184.07,1166.92,1158.35,1205.64,1188.41,1196.28,1179.37,1160.24,1103.86,1136.97,1152.45,1156,1173.97,1178.02,1156.24,1169,1173,1288,1458,1577,1610,1567,1621,1583,1612,1614,1640,1680,1696,1660,1649,1594,1453,1329,1212,1099,1085,1074,1064,1062.67,1055.99,1045.11,1051.24,1009.08,991.79,1009.95,1040.09,1037.73,1039.53,1034.28,1029.07,1073.6816,1086.8986,1099.3252,1079.2692,1078.699,1102.1264,1115.51,1134.471,1125.3422,1140.7096,1133.9032,1139.8664,1138.248,1161.79,1143.9278,1136.3572,1110.4044,1092.0968,1121.1994,1136.7994,1118.324,1148.663
la Sagrada Família,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3084,3150,3131,3119,3064,3037,3053,3161,3142,3180,3169,3170,3265,3285,3258,3247,3247,3166,3214,3307,3274,3238,3273,3228,3300,3282,3294,3182,3117,2992,3037,3081,3025,3078,3069,3021,3042,2995,2986,2953,2860,2818,2867,2895,2838,2834,2804,2759,2804.6,2793.08,2779.64,2673.58,2588.69,2510.51,2533.5,2595.92,2552.03,2532.73,2483.86,2467.4,2479.37,2408.85,2377.71,2339.57,2261.94,2179.19,2170.82,2244.12,2227.2,2213.18,2220.12,2216.05,2238.53,2222,2212.17,2151.31,2071.56,1994.32,2012.66,2062.28,1993.24,2000.94,2052.76,2031.92,2077.27,2028.54,2024.76,1958.97,1929.02,1865.29,1884.96,1928.87,1888.46,1910.87,1875.61,1866.57,1930.52,1910.55,1927.22,1892.45,1868.23,1793.73,1861.1,1926.5,1912.63,1910.33,1935.88,1917.12,1930,1918,2093,2380,2525,2576,2513,2580,2520,2556,2576,2596,2639,2665,2618,2586,2507,2308,2120,1957,1826,1782,1741,1724,1743.32,1721.27,1699.67,1696.44,1628.87,1617.06,1654.67,1715.57,1701.81,1669.46,1669.64,1660.16,1669.3526,1676.9783,1696.3847,1658.2177,1661.7513,1654.4445,1677.9247,1737.5106,1716.2379,1738.063,1738.6966,1753.1661,1777.1032,1787.4177,1759.1062,1741.69,1697.8936,1665.8373,1696.4619,1731.8873,1705.3487,1745.776
la Dreta de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2071,2129,2143,2090,2051,2030,2040,2122,2115,2133,2123,2123,2223,2222,2221,2258,2246,2180,2206,2219,2196,2172,2186,2166,2209,2169,2186,2160,2110,2037,2071,2097,2032,2040,2031,2011,2015,2036,2002,1960,1869,1878,1928,1916,1862,1850,1832,1796,1794.14,1809.6,1795.75,1734.07,1692.32,1670.84,1675.07,1714.57,1678.51,1696.79,1675.77,1651.24,1668.99,1641.86,1621.09,1566.05,1498.41,1475.32,1455.51,1488.77,1462.77,1438.04,1475.5,1446.95,1465.87,1460,1439.25,1375.72,1311.69,1293.31,1305.91,1352.97,1298.71,1293.52,1334.7,1338.4,1340.18,1318.75,1299.3,1259.39,1248.09,1208.59,1233.24,1259.05,1230.14,1241.67,1217.11,1217.41,1286,1276.98,1276.22,1236.45,1238.7,1194.45,1209.08,1231.81,1225.16,1242.71,1257.84,1254.61,1269,1296,1390,1594,1739,1794,1757,1806,1757,1804,1816,1843,1885,1898,1872,1835,1781,1655,1505,1342,1243,1199,1163,1165,1164.86,1143.99,1135.16,1107.36,1076.35,1043.92,1060.66,1119.27,1118.63,1117.39,1152.49,1145.4,1132.5432,1145.0927,1130.0752,1116.7349,1138.8014,1144.4649,1171.8612,1201.6432,1182.0902,1193.7928,1204.6772,1230.6808,1243.3313,1259.0786,1267.4414,1241.0057,1204.494,1196.0123,1222.545,1277.0709,1271.0248,1276.3772
